id,name,short,category,family,package,fn,engine,level,status,structures_text,diagnostics_text
dols,Dynamic OLS,R workflow for dynamic ols,Cointegration and ECM,cointegration,cointReg,cointRegD,native R,Advanced,Method-aware adapter,Time series | Panel,Integration order | Cointegration rank | Adjustment dynamics | Stability
fmols,Fully Modified OLS,R workflow for fully modified ols,Cointegration and ECM,cointegration,cointReg,cointRegFM,native R,Advanced,Method-aware adapter,Time series | Panel,Integration order | Cointegration rank | Adjustment dynamics | Stability
ccr,Canonical Cointegrating Regression,R workflow for canonical cointegrating regression,Cointegration and ECM,cointegration,cointReg,cointRegD,native R,Advanced,Generic R scaffold,Time series | Panel,Integration order | Cointegration rank | Adjustment dynamics | Stability
gregory-hansen,Gregory–Hansen Cointegration Test,R workflow for gregory–hansen cointegration test,Cointegration and ECM,cointegration,urca,ca.po,native R,Advanced,Generic R scaffold,Time series | Panel,Integration order | Cointegration rank | Adjustment dynamics | Stability
bayer-hanck,Bayer–Hanck Combined Cointegration,R workflow for bayer–hanck combined cointegration,Cointegration and ECM,cointegration,custom,bayer_hanck,native R,Advanced,Generic R scaffold,Time series | Panel,Integration order | Cointegration rank | Adjustment dynamics | Stability
pedroni,Pedroni Panel Cointegration,R workflow for pedroni panel cointegration,Cointegration and ECM,cointegration,pco,pedroni99,native R,Advanced,Generic R scaffold,Time series | Panel,Integration order | Cointegration rank | Adjustment dynamics | Stability
kao,Kao Panel Cointegration,R workflow for kao panel cointegration,Cointegration and ECM,cointegration,custom,kao_test,native R,Advanced,Generic R scaffold,Time series | Panel,Integration order | Cointegration rank | Adjustment dynamics | Stability
westerlund,Westerlund Panel Cointegration,R workflow for westerlund panel cointegration,Cointegration and ECM,cointegration,Westerlund,westerlund,native R,Advanced,Generic R scaffold,Time series | Panel,Integration order | Cointegration rank | Adjustment dynamics | Stability
nardl,Nonlinear ARDL,R workflow for nonlinear ardl,Cointegration and ECM,cointegration,nardl,nardl,native R,Advanced,Generic R scaffold,Time series | Panel,Integration order | Cointegration rank | Adjustment dynamics | Stability
asymmetric-ecm,Asymmetric ECM,R workflow for asymmetric ecm,Cointegration and ECM,cointegration,nardl,nardl,native R,Advanced,Generic R scaffold,Time series | Panel,Integration order | Cointegration rank | Adjustment dynamics | Stability
threshold-cointegration,Threshold Cointegration,R workflow for threshold cointegration,Cointegration and ECM,cointegration,tsDyn,TVECM,native R,Advanced,Generic R scaffold,Time series | Panel,Integration order | Cointegration rank | Adjustment dynamics | Stability
quantile-cointegration,Quantile Cointegration,R workflow for quantile cointegration,Cointegration and ECM,cointegration,quantreg,rq,native R,Advanced,Generic R scaffold,Time series | Panel,Integration order | Cointegration rank | Adjustment dynamics | Stability
var,Vector Autoregression,R workflow for vector autoregression,"VAR, systems and causality",var_systems,vars,VAR,native R,Advanced,Method-aware adapter,Time series | Panel,Lag order | Stability | Residual correlation | Normality
svar,Structural VAR,R workflow for structural var,"VAR, systems and causality",var_systems,vars,SVAR,native R,Advanced,Method-aware adapter,Time series | Panel,Lag order | Stability | Residual correlation | Normality
bvar,Bayesian VAR,R workflow for bayesian var,"VAR, systems and causality",var_systems,BVAR,bvar,native R,Advanced,Generic R scaffold,Time series | Panel,Lag order | Stability | Residual correlation | Normality
favar,Factor-Augmented VAR,R workflow for factor-augmented var,"VAR, systems and causality",var_systems,FAVAR,FAVAR,native R,Advanced,Generic R scaffold,Time series | Panel,Lag order | Stability | Residual correlation | Normality
pvar,Panel VAR,R workflow for panel var,"VAR, systems and causality",var_systems,panelvar,pvargmm,native R,Advanced,Generic R scaffold,Time series | Panel,Lag order | Stability | Residual correlation | Normality
gvar,Global VAR,R workflow for global var,"VAR, systems and causality",var_systems,GVAR,gvar,native R,Advanced,Generic R scaffold,Time series | Panel,Lag order | Stability | Residual correlation | Normality
tvp-var,Time-Varying Parameter VAR,R workflow for time-varying parameter var,"VAR, systems and causality",var_systems,BMR,bvar,native R,Advanced,Generic R scaffold,Time series | Panel,Lag order | Stability | Residual correlation | Normality
ms-var,Markov-Switching VAR,R workflow for markov-switching var,"VAR, systems and causality",var_systems,MSBVAR,msvar,native R,Advanced,Generic R scaffold,Time series | Panel,Lag order | Stability | Residual correlation | Normality
local-projections,Local Projections,R workflow for local projections,"VAR, systems and causality",var_systems,lpirfs,lp_lin,native R,Advanced,Generic R scaffold,Time series | Panel,Lag order | Stability | Residual correlation | Normality
irf,Impulse-Response Functions,R workflow for impulse-response functions,"VAR, systems and causality",var_systems,vars,irf,native R,Advanced,Method-aware adapter,Time series | Panel,Lag order | Stability | Residual correlation | Normality
fevd,Forecast-Error Variance Decomposition,R workflow for forecast-error variance decomposition,"VAR, systems and causality",var_systems,vars,fevd,native R,Advanced,Method-aware adapter,Time series | Panel,Lag order | Stability | Residual correlation | Normality
historical-decomposition,Historical Decomposition,R workflow for historical decomposition,"VAR, systems and causality",var_systems,svars,hd,native R,Advanced,Generic R scaffold,Time series | Panel,Lag order | Stability | Residual correlation | Normality
granger,Granger Causality,R workflow for granger causality,"VAR, systems and causality",var_systems,lmtest,grangertest,native R,Advanced,Method-aware adapter,Time series | Panel,Lag order | Stability | Residual correlation | Normality
toda-yamamoto,Toda–Yamamoto Causality,R workflow for toda–yamamoto causality,"VAR, systems and causality",var_systems,vars,causality,native R,Advanced,Method-aware adapter,Time series | Panel,Lag order | Stability | Residual correlation | Normality
block-exogeneity,Block Exogeneity Test,R workflow for block exogeneity test,"VAR, systems and causality",var_systems,vars,causality,native R,Advanced,Generic R scaffold,Time series | Panel,Lag order | Stability | Residual correlation | Normality
frequency-causality,Frequency-Domain Causality,R workflow for frequency-domain causality,"VAR, systems and causality",var_systems,frequencyConnectedness,frequencyConnectedness,native R,Advanced,Generic R scaffold,Time series | Panel,Lag order | Stability | Residual correlation | Normality
nonlinear-causality,Nonlinear Granger Causality,R workflow for nonlinear granger causality,"VAR, systems and causality",var_systems,NlinTS,nlin_causality.test,native R,Advanced,Generic R scaffold,Time series | Panel,Lag order | Stability | Residual correlation | Normality
time-varying-causality,Time-Varying Causality,R workflow for time-varying causality,"VAR, systems and causality",var_systems,tvgc,tvgc,native R,Advanced,Generic R scaffold,Time series | Panel,Lag order | Stability | Residual correlation | Normality
instantaneous-causality,Instantaneous Causality,R workflow for instantaneous causality,"VAR, systems and causality",var_systems,vars,causality,native R,Advanced,Generic R scaffold,Time series | Panel,Lag order | Stability | Residual correlation | Normality
sur,Seemingly Unrelated Regression,R workflow for seemingly unrelated regression,"VAR, systems and causality",var_systems,systemfit,systemfit,native R,Advanced,Method-aware adapter,Time series | Panel,Lag order | Stability | Residual correlation | Normality
3sls,Three-Stage Least Squares,R workflow for three-stage least squares,"VAR, systems and causality",var_systems,systemfit,systemfit,native R,Advanced,Method-aware adapter,Time series | Panel,Lag order | Stability | Residual correlation | Normality
fiml,Full-Information Maximum Likelihood,R workflow for full-information maximum likelihood,"VAR, systems and causality",var_systems,systemfit,systemfit,native R,Advanced,Generic R scaffold,Time series | Panel,Lag order | Stability | Residual correlation | Normality
arch,ARCH Model,R workflow for arch model,Financial econometrics,financial,rugarch,ugarchfit,native R,Advanced,Method-aware adapter,Time series | Panel,ARCH effects | Standardised residuals | Persistence | Backtesting
garch,GARCH Model,R workflow for garch model,Financial econometrics,financial,rugarch,ugarchfit,native R,Advanced,Method-aware adapter,Time series | Panel,ARCH effects | Standardised residuals | Persistence | Backtesting
garch-m,GARCH-in-Mean,R workflow for garch-in-mean,Financial econometrics,financial,rugarch,ugarchfit,native R,Advanced,Method-aware adapter,Time series | Panel,ARCH effects | Standardised residuals | Persistence | Backtesting
egarch,EGARCH,R workflow for egarch,Financial econometrics,financial,rugarch,ugarchfit,native R,Advanced,Method-aware adapter,Time series | Panel,ARCH effects | Standardised residuals | Persistence | Backtesting
gjr-garch,GJR-GARCH,R workflow for gjr-garch,Financial econometrics,financial,rugarch,ugarchfit,native R,Advanced,Method-aware adapter,Time series | Panel,ARCH effects | Standardised residuals | Persistence | Backtesting
tgarch,Threshold GARCH,R workflow for threshold garch,Financial econometrics,financial,rugarch,ugarchfit,native R,Advanced,Method-aware adapter,Time series | Panel,ARCH effects | Standardised residuals | Persistence | Backtesting
aparch,APARCH,R workflow for aparch,Financial econometrics,financial,rugarch,ugarchfit,native R,Advanced,Method-aware adapter,Time series | Panel,ARCH effects | Standardised residuals | Persistence | Backtesting
figarch,FIGARCH,R workflow for figarch,Financial econometrics,financial,rugarch,ugarchfit,native R,Advanced,Method-aware adapter,Time series | Panel,ARCH effects | Standardised residuals | Persistence | Backtesting
component-garch,Component GARCH,R workflow for component garch,Financial econometrics,financial,rugarch,ugarchfit,native R,Advanced,Generic R scaffold,Time series | Panel,ARCH effects | Standardised residuals | Persistence | Backtesting
stochastic-volatility,Stochastic Volatility,R workflow for stochastic volatility,Financial econometrics,financial,stochvol,svsample,native R,Advanced,Generic R scaffold,Time series | Panel,ARCH effects | Standardised residuals | Persistence | Backtesting
multivariate-garch,Multivariate GARCH,R workflow for multivariate garch,Financial econometrics,financial,rmgarch,multifit,native R,Advanced,Generic R scaffold,Time series | Panel,ARCH effects | Standardised residuals | Persistence | Backtesting
dcc-garch,DCC-GARCH,R workflow for dcc-garch,Financial econometrics,financial,rmgarch,dccfit,native R,Advanced,Method-aware adapter,Time series | Panel,ARCH effects | Standardised residuals | Persistence | Backtesting
bekk-garch,BEKK-GARCH,R workflow for bekk-garch,Financial econometrics,financial,BEKKs,bekk_fit,native R,Advanced,Generic R scaffold,Time series | Panel,ARCH effects | Standardised residuals | Persistence | Backtesting
copula,Copula Model,R workflow for copula model,Financial econometrics,financial,copula,fitCopula,native R,Advanced,Generic R scaffold,Time series | Panel,ARCH effects | Standardised residuals | Persistence | Backtesting
value-at-risk,Value at Risk,R workflow for value at risk,Financial econometrics,financial,PerformanceAnalytics,VaR,native R,Advanced,Method-aware adapter,Time series | Panel,ARCH effects | Standardised residuals | Persistence | Backtesting
expected-shortfall,Expected Shortfall,R workflow for expected shortfall,Financial econometrics,financial,PerformanceAnalytics,ES,native R,Advanced,Method-aware adapter,Time series | Panel,ARCH effects | Standardised residuals | Persistence | Backtesting
var-backtest,VaR Backtesting,R workflow for var backtesting,Financial econometrics,financial,rugarch,VaRTest,native R,Advanced,Generic R scaffold,Time series | Panel,ARCH effects | Standardised residuals | Persistence | Backtesting
event-study,Financial Event Study,R workflow for financial event study,Financial econometrics,financial,estudy2,eventstudy,native R,Advanced,Generic R scaffold,Time series | Panel,ARCH effects | Standardised residuals | Persistence | Backtesting
market-model,Market Model,R workflow for market model,Financial econometrics,financial,stats,lm,native R,Advanced,Method-aware adapter,Time series | Panel,ARCH effects | Standardised residuals | Persistence | Backtesting
capm,Capital Asset Pricing Model,R workflow for capital asset pricing model,Financial econometrics,financial,PerformanceAnalytics,CAPM.beta,native R,Advanced,Method-aware adapter,Time series | Panel,ARCH effects | Standardised residuals | Persistence | Backtesting
fama-french-3,Fama–French Three-Factor Model,R workflow for fama–french three-factor model,Financial econometrics,financial,stats,lm,native R,Advanced,Method-aware adapter,Time series | Panel,ARCH effects | Standardised residuals | Persistence | Backtesting
fama-french-5,Fama–French Five-Factor Model,R workflow for fama–french five-factor model,Financial econometrics,financial,stats,lm,native R,Advanced,Method-aware adapter,Time series | Panel,ARCH effects | Standardised residuals | Persistence | Backtesting
carhart,Carhart Four-Factor Model,R workflow for carhart four-factor model,Financial econometrics,financial,stats,lm,native R,Advanced,Generic R scaffold,Time series | Panel,ARCH effects | Standardised residuals | Persistence | Backtesting
apt,Arbitrage Pricing Theory Model,R workflow for arbitrage pricing theory model,Financial econometrics,financial,stats,lm,native R,Advanced,Method-aware adapter,Time series | Panel,ARCH effects | Standardised residuals | Persistence | Backtesting
mean-variance,Mean–Variance Portfolio Optimisation,R workflow for mean–variance portfolio optimisation,Financial econometrics,financial,PortfolioAnalytics,optimize.portfolio,native R,Advanced,Generic R scaffold,Time series | Panel,ARCH effects | Standardised residuals | Persistence | Backtesting
black-litterman,Black–Litterman Model,R workflow for black–litterman model,Financial econometrics,financial,BLCOP,BLPosterior,native R,Advanced,Generic R scaffold,Time series | Panel,ARCH effects | Standardised residuals | Persistence | Backtesting
contagion,Financial Contagion Test,R workflow for financial contagion test,Financial econometrics,financial,FinTS,DCCtest,native R,Advanced,Generic R scaffold,Time series | Panel,ARCH effects | Standardised residuals | Persistence | Backtesting
connectedness,Diebold–Yilmaz Connectedness,R workflow for diebold–yilmaz connectedness,Financial econometrics,financial,ConnectednessApproach,ConnectednessApproach,native R,Advanced,Generic R scaffold,Time series | Panel,ARCH effects | Standardised residuals | Persistence | Backtesting
wavelet,Wavelet Analysis,R workflow for wavelet analysis,Financial econometrics,financial,WaveletComp,analyze.wavelet,native R,Advanced,Generic R scaffold,Time series | Panel,ARCH effects | Standardised residuals | Persistence | Backtesting
frequency-connectedness,Frequency Connectedness,R workflow for frequency connectedness,Financial econometrics,financial,frequencyConnectedness,frequencyConnectedness,native R,Advanced,Generic R scaffold,Time series | Panel,ARCH effects | Standardised residuals | Persistence | Backtesting
realized-volatility,Realised Volatility,R workflow for realised volatility,Financial econometrics,financial,highfrequency,rCov,native R,Advanced,Generic R scaffold,Time series | Panel,ARCH effects | Standardised residuals | Persistence | Backtesting
har-rv,HAR-RV Model,R workflow for har-rv model,Financial econometrics,financial,highfrequency,HARmodel,native R,Advanced,Generic R scaffold,Time series | Panel,ARCH effects | Standardised residuals | Persistence | Backtesting
option-pricing,Option-Pricing Estimation,R workflow for option-pricing estimation,Financial econometrics,financial,RQuantLib,EuropeanOption,native R,Advanced,Generic R scaffold,Time series | Panel,ARCH effects | Standardised residuals | Persistence | Backtesting
cointegration-trading,Pairs-Trading Cointegration,R workflow for pairs-trading cointegration,Financial econometrics,financial,urca,ca.po,native R,Advanced,Generic R scaffold,Time series | Panel,ARCH effects | Standardised residuals | Persistence | Backtesting
pooled-ols,Pooled OLS Panel Model,R workflow for pooled ols panel model,Panel data,panel,plm,plm,native R,Advanced,Method-aware adapter,Panel,Poolability | Serial correlation | Heteroskedasticity | Cross-sectional dependence
fe,Fixed Effects Panel Model,Control for time-invariant unit heterogeneity,Panel data,panel,plm,plm,Offline + webR,Advanced,Method-aware adapter,Panel,Poolability | Serial correlation | Heteroskedasticity | Cross-sectional dependence
re,Random Effects Panel Model,R workflow for random effects panel model,Panel data,panel,plm,plm,native R,Advanced,Method-aware adapter,Panel,Poolability | Serial correlation | Heteroskedasticity | Cross-sectional dependence
first-difference-panel,First-Difference Panel Model,R workflow for first-difference panel model,Panel data,panel,plm,plm,native R,Advanced,Method-aware adapter,Panel,Poolability | Serial correlation | Heteroskedasticity | Cross-sectional dependence
between-panel,Between Estimator,R workflow for between estimator,Panel data,panel,plm,plm,native R,Advanced,Method-aware adapter,Panel,Poolability | Serial correlation | Heteroskedasticity | Cross-sectional dependence
two-way-fe,Two-Way Fixed Effects,R workflow for two-way fixed effects,Panel data,panel,fixest,feols,Offline + webR,Advanced,Method-aware adapter,Panel,Poolability | Serial correlation | Heteroskedasticity | Cross-sectional dependence
nested-effects,Nested-Effects Model,R workflow for nested-effects model,Panel data,panel,plm,plm,native R,Advanced,Generic R scaffold,Panel,Poolability | Serial correlation | Heteroskedasticity | Cross-sectional dependence
hausman,Hausman Specification Test,R workflow for hausman specification test,Panel data,panel,plm,phtest,native R,Advanced,Method-aware adapter,Panel,Poolability | Serial correlation | Heteroskedasticity | Cross-sectional dependence
bp-lm-panel,Breusch–Pagan Panel LM Test,R workflow for breusch–pagan panel lm test,Panel data,panel,plm,plmtest,native R,Advanced,Method-aware adapter,Panel,Poolability | Serial correlation | Heteroskedasticity | Cross-sectional dependence
f-test-fe,Fixed-Effects F Test,R workflow for fixed-effects f test,Panel data,panel,plm,pFtest,native R,Advanced,Method-aware adapter,Panel,Poolability | Serial correlation | Heteroskedasticity | Cross-sectional dependence
mundlak,Mundlak Correlated Random Effects,R workflow for mundlak correlated random effects,Panel data,panel,plm,plm,native R,Advanced,Method-aware adapter,Panel,Poolability | Serial correlation | Heteroskedasticity | Cross-sectional dependence
pcse,Panel-Corrected Standard Errors,R workflow for panel-corrected standard errors,Panel data,panel,pcse,pcse,native R,Advanced,Method-aware adapter,Panel,Poolability | Serial correlation | Heteroskedasticity | Cross-sectional dependence
driscoll-kraay,Driscoll–Kraay Standard Errors,R workflow for driscoll–kraay standard errors,Panel data,panel,plm,vcovSCC,native R,Advanced,Method-aware adapter,Panel,Poolability | Serial correlation | Heteroskedasticity | Cross-sectional dependence
beck-katz,Beck–Katz PCSE,R workflow for beck–katz pcse,Panel data,panel,pcse,pcse,native R,Advanced,Generic R scaffold,Panel,Poolability | Serial correlation | Heteroskedasticity | Cross-sectional dependence
dynamic-panel,Dynamic Panel Model,R workflow for dynamic panel model,Panel data,panel,plm,pgmm,native R,Advanced,Method-aware adapter,Panel,Poolability | Serial correlation | Heteroskedasticity | Cross-sectional dependence
diff-gmm,Difference GMM,R workflow for difference gmm,Panel data,panel,plm,pgmm,native R,Advanced,Method-aware adapter,Panel,Poolability | Serial correlation | Heteroskedasticity | Cross-sectional dependence
sys-gmm,System GMM,R workflow for system gmm,Panel data,panel,pdynmc,pdynmc,native R,Advanced,Method-aware adapter,Panel,Poolability | Serial correlation | Heteroskedasticity | Cross-sectional dependence
bias-corrected-panel,Bias-Corrected Dynamic Panel,R workflow for bias-corrected dynamic panel,Panel data,panel,LSDV,LSDV,native R,Advanced,Generic R scaffold,Panel,Poolability | Serial correlation | Heteroskedasticity | Cross-sectional dependence
panel-ardl-pmg,Panel ARDL / PMG,R workflow for panel ardl / pmg,Panel data,panel,plm,pmg,native R,Advanced,Method-aware adapter,Panel,Poolability | Serial correlation | Heteroskedasticity | Cross-sectional dependence
panel-mg,Mean Group Estimator,R workflow for mean group estimator,Panel data,panel,plm,pmg,native R,Advanced,Method-aware adapter,Panel,Poolability | Serial correlation | Heteroskedasticity | Cross-sectional dependence
panel-dfe,Dynamic Fixed Effects,R workflow for dynamic fixed effects,Panel data,panel,plm,pmg,native R,Advanced,Method-aware adapter,Panel,Poolability | Serial correlation | Heteroskedasticity | Cross-sectional dependence
cce,Common Correlated Effects,R workflow for common correlated effects,Panel data,panel,plm,pcce,native R,Advanced,Method-aware adapter,Panel,Poolability | Serial correlation | Heteroskedasticity | Cross-sectional dependence
amg,Augmented Mean Group,R workflow for augmented mean group,Panel data,panel,custom,amg,native R,Advanced,Method-aware adapter,Panel,Poolability | Serial correlation | Heteroskedasticity | Cross-sectional dependence
pesaran-cd,Pesaran CD Test,R workflow for pesaran cd test,Panel data,panel,plm,pcdtest,native R,Advanced,Method-aware adapter,Panel,Poolability | Serial correlation | Heteroskedasticity | Cross-sectional dependence
frey-cd,Frees Cross-Section Dependence Test,R workflow for frees cross-section dependence test,Panel data,panel,plm,pcdtest,native R,Advanced,Generic R scaffold,Panel,Poolability | Serial correlation | Heteroskedasticity | Cross-sectional dependence
slope-homogeneity,Pesaran–Yamagata Slope Homogeneity,R workflow for pesaran–yamagata slope homogeneity,Panel data,panel,custom,delta_test,native R,Advanced,Generic R scaffold,Panel,Poolability | Serial correlation | Heteroskedasticity | Cross-sectional dependence
panel-threshold,Panel Threshold Regression,R workflow for panel threshold regression,Panel data,panel,PanelThreshold,ptm,native R,Advanced,Generic R scaffold,Panel,Poolability | Serial correlation | Heteroskedasticity | Cross-sectional dependence
pstr,Panel Smooth-Transition Regression,R workflow for panel smooth-transition regression,Panel data,panel,PSTR,NewPSTR,native R,Advanced,Generic R scaffold,Panel,Poolability | Serial correlation | Heteroskedasticity | Cross-sectional dependence
panel-quantile,Panel Quantile Regression,R workflow for panel quantile regression,Panel data,panel,rqpd,rqpd,native R,Advanced,Generic R scaffold,Panel,Poolability | Serial correlation | Heteroskedasticity | Cross-sectional dependence
spatial-panel,Spatial Panel Regression,R workflow for spatial panel regression,Panel data,panel,splm,spml,native R,Advanced,Generic R scaffold,Panel,Poolability | Serial correlation | Heteroskedasticity | Cross-sectional dependence
panel-causality,Dumitrescu–Hurlin Panel Causality,R workflow for dumitrescu–hurlin panel causality,Panel data,panel,plm,pgrangertest,native R,Advanced,Generic R scaffold,Panel,Poolability | Serial correlation | Heteroskedasticity | Cross-sectional dependence
panel-cointegration,Panel Cointegration Model,R workflow for panel cointegration model,Panel data,panel,pco,pedroni99,native R,Advanced,Generic R scaffold,Panel,Poolability | Serial correlation | Heteroskedasticity | Cross-sectional dependence
interactive-fe,Interactive Fixed Effects,R workflow for interactive fixed effects,Panel data,panel,phtt,Eup,native R,Advanced,Generic R scaffold,Panel,Poolability | Serial correlation | Heteroskedasticity | Cross-sectional dependence
matrix-completion,Matrix Completion Panel Estimator,R workflow for matrix completion panel estimator,Panel data,panel,gsynth,gsynth,native R,Advanced,Generic R scaffold,Panel,Poolability | Serial correlation | Heteroskedasticity | Cross-sectional dependence
common-correlated-random,Common Correlated Random Effects,R workflow for common correlated random effects,Panel data,panel,plm,pcce,native R,Advanced,Generic R scaffold,Panel,Poolability | Serial correlation | Heteroskedasticity | Cross-sectional dependence
panel-probit,Panel Probit,R workflow for panel probit,Panel data,panel,pglm,pglm,native R,Advanced,Generic R scaffold,Panel,Poolability | Serial correlation | Heteroskedasticity | Cross-sectional dependence
panel-logit,Panel Logit,R workflow for panel logit,Panel data,panel,pglm,pglm,native R,Advanced,Generic R scaffold,Panel,Poolability | Serial correlation | Heteroskedasticity | Cross-sectional dependence
panel-tobit,Panel Tobit,R workflow for panel tobit,Panel data,panel,pglm,pglm,native R,Advanced,Generic R scaffold,Panel,Poolability | Serial correlation | Heteroskedasticity | Cross-sectional dependence
panel-count,Panel Count Model,R workflow for panel count model,Panel data,panel,pglm,pglm,native R,Advanced,Generic R scaffold,Panel,Poolability | Serial correlation | Heteroskedasticity | Cross-sectional dependence
iv,Instrumental Variables,R workflow for instrumental variables,Endogeneity and GMM,iv_gmm,ivreg,ivreg,native R,Advanced,Method-aware adapter,Cross-section | Panel | Time series,Instrument relevance | Weak instruments | Overidentification | Endogeneity
2sls,Two-Stage Least Squares,R workflow for two-stage least squares,Endogeneity and GMM,iv_gmm,ivreg,ivreg,native R,Advanced,Method-aware adapter,Cross-section | Panel | Time series,Instrument relevance | Weak instruments | Overidentification | Endogeneity
liml,Limited-Information Maximum Likelihood,R workflow for limited-information maximum likelihood,Endogeneity and GMM,iv_gmm,ivmodel,ivmodel,native R,Advanced,Method-aware adapter,Cross-section | Panel | Time series,Instrument relevance | Weak instruments | Overidentification | Endogeneity
fuller,Fuller Modified LIML,R workflow for fuller modified liml,Endogeneity and GMM,iv_gmm,ivmodel,ivmodel,native R,Advanced,Generic R scaffold,Cross-section | Panel | Time series,Instrument relevance | Weak instruments | Overidentification | Endogeneity
gmm,Generalised Method of Moments,R workflow for generalised method of moments,Endogeneity and GMM,iv_gmm,gmm,gmm,native R,Advanced,Method-aware adapter,Cross-section | Panel | Time series,Instrument relevance | Weak instruments | Overidentification | Endogeneity
cue-gmm,Continuously Updated GMM,R workflow for continuously updated gmm,Endogeneity and GMM,iv_gmm,gmm,gmm,native R,Advanced,Method-aware adapter,Cross-section | Panel | Time series,Instrument relevance | Weak instruments | Overidentification | Endogeneity
control-function,Control-Function Estimation,R workflow for control-function estimation,Endogeneity and GMM,iv_gmm,stats,lm,native R,Advanced,Generic R scaffold,Cross-section | Panel | Time series,Instrument relevance | Weak instruments | Overidentification | Endogeneity
weak-instrument-f,Weak-Instrument First-Stage F Test,R workflow for weak-instrument first-stage f test,Endogeneity and GMM,iv_gmm,ivreg,summary,native R,Advanced,Method-aware adapter,Cross-section | Panel | Time series,Instrument relevance | Weak instruments | Overidentification | Endogeneity
kleibergen-paap,Kleibergen–Paap Test,R workflow for kleibergen–paap test,Endogeneity and GMM,iv_gmm,ivreg,summary,native R,Advanced,Generic R scaffold,Cross-section | Panel | Time series,Instrument relevance | Weak instruments | Overidentification | Endogeneity
cragg-donald,Cragg–Donald Statistic,R workflow for cragg–donald statistic,Endogeneity and GMM,iv_gmm,ivreg,summary,native R,Advanced,Generic R scaffold,Cross-section | Panel | Time series,Instrument relevance | Weak instruments | Overidentification | Endogeneity
sargan,Sargan Overidentification Test,R workflow for sargan overidentification test,Endogeneity and GMM,iv_gmm,ivreg,summary,native R,Advanced,Method-aware adapter,Cross-section | Panel | Time series,Instrument relevance | Weak instruments | Overidentification | Endogeneity
hansen-j,Hansen J Test,R workflow for hansen j test,Endogeneity and GMM,iv_gmm,gmm,specTest,native R,Advanced,Generic R scaffold,Cross-section | Panel | Time series,Instrument relevance | Weak instruments | Overidentification | Endogeneity
durbin-wu-hausman,Durbin–Wu–Hausman Endogeneity Test,R workflow for durbin–wu–hausman endogeneity test,Endogeneity and GMM,iv_gmm,ivreg,summary,native R,Advanced,Method-aware adapter,Cross-section | Panel | Time series,Instrument relevance | Weak instruments | Overidentification | Endogeneity
anderson-rubin,Anderson–Rubin Inference,R workflow for anderson–rubin inference,Endogeneity and GMM,iv_gmm,ivmodel,AR.test,native R,Advanced,Method-aware adapter,Cross-section | Panel | Time series,Instrument relevance | Weak instruments | Overidentification | Endogeneity
conditional-lr,Conditional Likelihood-Ratio Inference,R workflow for conditional likelihood-ratio inference,Endogeneity and GMM,iv_gmm,ivmodel,CLR,native R,Advanced,Generic R scaffold,Cross-section | Panel | Time series,Instrument relevance | Weak instruments | Overidentification | Endogeneity
many-instrument,Many-Instrument Robust Estimation,R workflow for many-instrument robust estimation,Endogeneity and GMM,iv_gmm,ivmodel,ivmodel,native R,Advanced,Generic R scaffold,Cross-section | Panel | Time series,Instrument relevance | Weak instruments | Overidentification | Endogeneity
k-class,K-Class Estimator,R workflow for k-class estimator,Endogeneity and GMM,iv_gmm,ivreg,ivreg,native R,Advanced,Generic R scaffold,Cross-section | Panel | Time series,Instrument relevance | Weak instruments | Overidentification | Endogeneity
jive,Jackknife IV Estimator,R workflow for jackknife iv estimator,Endogeneity and GMM,iv_gmm,ivmodel,ivmodel,native R,Advanced,Generic R scaffold,Cross-section | Panel | Time series,Instrument relevance | Weak instruments | Overidentification | Endogeneity
logit,Binary Logit,Binary outcome model with logistic link,Limited dependent variables,limited,stats,glm,Offline + webR,Intermediate,Method-aware adapter,Cross-section | Panel,Outcome support | Goodness of fit | Marginal effects | Specification
probit,Binary Probit,Binary outcome model with normal link,Limited dependent variables,limited,stats,glm,Offline + webR,Intermediate,Method-aware adapter,Cross-section | Panel,Outcome support | Goodness of fit | Marginal effects | Specification
cloglog,Complementary Log-Log Model,R workflow for complementary log-log model,Limited dependent variables,limited,stats,glm,native R,Intermediate,Method-aware adapter,Cross-section | Panel,Outcome support | Goodness of fit | Marginal effects | Specification
multinomial-logit,Multinomial Logit,R workflow for multinomial logit,Limited dependent variables,limited,nnet,multinom,native R,Intermediate,Method-aware adapter,Cross-section | Panel,Outcome support | Goodness of fit | Marginal effects | Specification
multinomial-probit,Multinomial Probit,R workflow for multinomial probit,Limited dependent variables,limited,MNP,mnp,native R,Intermediate,Generic R scaffold,Cross-section | Panel,Outcome support | Goodness of fit | Marginal effects | Specification
conditional-logit,Conditional Logit,R workflow for conditional logit,Limited dependent variables,limited,survival,clogit,native R,Intermediate,Generic R scaffold,Cross-section | Panel,Outcome support | Goodness of fit | Marginal effects | Specification
mixed-logit,Mixed Logit,R workflow for mixed logit,Limited dependent variables,limited,mlogit,mlogit,native R,Intermediate,Generic R scaffold,Cross-section | Panel,Outcome support | Goodness of fit | Marginal effects | Specification
nested-logit,Nested Logit,R workflow for nested logit,Limited dependent variables,limited,mlogit,mlogit,native R,Intermediate,Generic R scaffold,Cross-section | Panel,Outcome support | Goodness of fit | Marginal effects | Specification
